crop_type,initial_condition,avg_temp,humidity_avg,storage_hours,violation_duration,base_price,quality_score,final_price
Banana,Semi-Ripe,-0.9743,62.3976,91.9448,266.4352,34.6364,62.795,21.7499
Apple,Semi-Ripe,2.8908,51.1509,63.2426,292.0352,99.4667,57.7856,57.4775
Strawberry,Semi-Ripe,32.9351,78.5186,229.4307,146.8692,95.9562,23.8302,22.8665
Apple,Semi-Ripe,24.8674,18.5537,170.9894,246.0778,19.5594,11.1735,2.1855
Mango,Raw,16.1167,97.9486,21.5766,12.9046,92.5874,100,92.5874
Orange,Ripe,0.5176,22.0454,52.7106,239.1706,37.2027,20.9351,7.7884
Apple,Raw,2.4271,45.7066,192.6168,19.3457,93.8651,61.115,57.3657
Strawberry,Ripe,33.4995,83.8732,10.1358,34.5815,20.341,0,0
Strawberry,Semi-Ripe,15.5971,79.0769,209.3595,285.7533,66.181,48.7726,32.2782
Apple,Semi-Ripe,23.5624,84.3114,19.2728,206.9014,13.5398,69.2942,9.3823
Apple,Ripe,20.494,48.2699,214.1089,70.4069,52.1711,27.963,14.5886
Orange,Raw,32.2736,29.1132,227.4491,245.9956,28.6663,17.3195,4.9649
Grape,Raw,-4.9021,22.8017,152.2861,78.6575,40.5534,24.6386,9.9918
Orange,Raw,-4.8291,79.3435,235.0744,18.8415,30.3496,80.7709,24.5137
Grape,Raw,1.8697,95.7383,194.3568,96.016,32.4806,87.3962,28.3868
Strawberry,Semi-Ripe,12.3109,95.8807,183.7924,259.568,64.732,62.1893,40.2564
Grape,Semi-Ripe,31.8156,69.2458,201.3777,108.9285,14.6129,29.3818,4.2935
Banana,Raw,6.9595,15.6809,90.8637,39.8429,33.2891,50.5869,16.8399
Grape,Semi-Ripe,43.5335,12.6582,81.7792,143.8057,22.9185,0,0
Mango,Semi-Ripe,44.9013,83.4984,130.1538,161.9695,59.1273,58.6359,34.6698
Grape,Raw,8.0779,12.7403,3.7377,32.4136,44.0244,15.4185,6.7879
Mango,Semi-Ripe,21.2055,70.8378,229.3598,227.3873,69.9258,67.3514,47.096
Apple,Ripe,18.0916,31.5761,120.0005,126.3462,35.5116,20.2656,7.1967
Orange,Raw,8.0161,46.391,56.7115,180.8735,12.3269,62.7228,7.7318
Grape,Raw,4.6444,28.0989,152.2072,260.5211,28.7206,24.6819,7.0888
Strawberry,Raw,17.114,69.799,180.2802,139.3949,72.0442,52.1629,37.5803
Orange,Semi-Ripe,22.4879,96.9535,23.7457,190.577,48.6629,68.2655,33.2199
Orange,Ripe,10.0865,11.3157,58.1765,6.5143,46.7002,16.8697,7.8782
Orange,Ripe,8.0872,54.8993,210.9309,161.0225,92.678,50.0413,46.3773
Mango,Ripe,16.799,90.1789,50.391,14.6829,52.6992,90.2087,47.5393
Banana,Ripe,27.6957,89.8936,132.3113,102.9847,65.6669,72.2976,47.4756
Banana,Ripe,29.4069,29.6748,186.0905,17.2517,41.7011,34.8975,14.5527
Mango,Ripe,21.5918,54.6301,181.5186,20.0963,25.2765,53.8717,13.6168
Apple,Raw,44.3906,20.3485,180.2575,254.1868,35.8519,10.6162,3.8061
Banana,Semi-Ripe,15.1457,14.4657,215.5106,197.6871,19.9889,43.5841,8.712
Grape,Raw,40.4366,18.0124,13.5874,68.6664,87.6916,0,0
Strawberry,Semi-Ripe,24.6633,49.772,104.5952,65.5016,93.1347,6.1302,5.7094
Grape,Raw,32.7329,30.1583,210.0164,173.5701,88.5483,6.6893,5.9233
Apple,Semi-Ripe,26.7796,36.3341,158.8002,208.2708,94.746,24.8635,23.5572
Mango,Raw,31.3656,42.6803,102.093,213.1467,68.6742,49.1055,33.7228
Orange,Ripe,29.851,24.331,235.2817,169.7392,81.2588,0,0
Strawberry,Ripe,35.0483,34.0918,6.8146,72.6186,82.5775,0,0
Strawberry,Semi-Ripe,32.9972,13.6831,98.3783,146.7311,74.0913,0,0
Grape,Ripe,32.8607,82.3564,141.0667,147.6883,28.5194,5.1632,1.4725
Orange,Ripe,1.9342,37.4762,48.5032,181.5723,68.3334,39.5039,26.9943
Grape,Semi-Ripe,40.1692,77.8667,199.473,121.3355,64.6533,26.8204,17.3403
Strawberry,Raw,1.8543,52.3353,62.6466,216.4701,36.6706,56.5573,20.7399
Mango,Semi-Ripe,-1.9409,21.4445,143.9938,182.2452,70.494,31.4051,22.1387
Apple,Raw,42.0945,70.7668,202.1872,257.805,67.6605,52.0008,35.184
Grape,Semi-Ripe,35.5272,21.0175,202.8851,62.8911,41.4404,0,0
Strawberry,Semi-Ripe,-0.1113,67.3746,3.5419,32.1691,90.5804,66.1305,59.9012
Orange,Raw,30.7921,25.0179,100.7738,39.2975,60.0006,22.2058,13.3236
Grape,Semi-Ripe,39.359,26.1428,81.5073,278.9191,34.7533,0,0
Strawberry,Raw,29.0078,11.7727,198.9302,297.5148,82.1913,0,0
Grape,Raw,3.4034,36.009,18.2301,267.3684,39.5861,35.0963,13.8933
Strawberry,Raw,27.3165,32.2155,180.6662,211.0642,92.3001,0,0
Apple,Semi-Ripe,-4.5358,71.3186,68.0489,68.5006,15.663,73.1031,11.4501
Grape,Raw,13.1594,86.5152,191.9194,219.4561,12.3773,77.1722,9.5518
Strawberry,Ripe,21.416,56.9056,52.8757,190.8004,47.8345,0,0
Mango,Semi-Ripe,8.5172,81.4572,136.9721,216.8779,36.6546,81.9137,30.0252
Orange,Raw,9.038,35.5116,14.2604,269.2668,56.2327,40.0605,22.5271
Apple,Raw,28.9983,16.6455,52.8951,7.8019,74.6982,25.5544,19.0887
Orange,Raw,19.9035,12.5534,9.7056,134.961,32.9926,16.3062,5.3798
Banana,Raw,8.5378,98.5587,173.7613,137.0413,73.3904,87.2216,64.0123
Mango,Raw,6.623,14.9581,239.9278,209.2736,57.2679,36.1296,20.6906
Grape,Raw,9.4116,32.1585,76.634,70.6432,80.1287,31.7019,25.4023
Apple,Semi-Ripe,27.3098,37.6466,149.6052,279.5686,11.1556,23.4284,2.6136
Banana,Raw,2.5358,40.0252,173.4965,96.2389,50.2205,60.7172,30.4925
Banana,Raw,23.2228,81.2451,224.1941,22.3272,17.6615,87.3767,15.4321
Banana,Semi-Ripe,12.6605,79.0844,107.2012,103.7968,93.1595,88.3499,82.3064
Orange,Ripe,5.1985,29.4941,131.145,298.6133,39.1741,31.577,12.37
Grape,Raw,3.6451,75.4258,236.1992,115.6929,53.4644,76.0413,40.655
Strawberry,Raw,23.1798,48.2554,43.535,59.9267,34.0512,22.9051,7.7994
Strawberry,Ripe,0.7454,12.6812,176.1966,6.3946,82.0862,0,0
Mango,Ripe,42.5728,97.575,187.0146,99.3416,50.4661,36.8033,18.5732
Mango,Raw,17.4215,47.3871,78.6872,146.6242,75.2665,62.1364,46.7679
Banana,Semi-Ripe,13.0493,47.4135,73.6041,40.5977,22.4707,72.0131,16.1818
Strawberry,Semi-Ripe,-1.772,73.3644,211.3525,168.2658,87.5075,60.5273,52.9659
Banana,Raw,19.4292,92.2431,205.6718,7.5542,15.2706,93.6961,14.3079
Banana,Raw,11.4163,99.5808,28.5214,164.1024,67.0152,100,67.0152
Strawberry,Raw,40.6485,49.9957,127.5477,33.5427,52.3876,7.8447,4.1097
Banana,Ripe,-3.4924,85.2665,210.5762,220.5144,77.0295,61.4047,47.2997
Apple,Raw,6.4549,26.7881,128.5988,261.6233,88.2788,38.8229,34.2723
Apple,Raw,14.6151,39.1016,111.975,84.1404,33.1193,49.2683,16.3173
Apple,Ripe,8.999,78.5111,58.8902,192.8926,30.6092,74.1395,22.6935
Grape,Ripe,42.8966,31.5148,83.7726,163.5591,87.4894,0,0
Banana,Raw,43.6938,99.7615,213.7756,179.6619,10.4563,72.31,7.5609
Strawberry,Ripe,29.8214,69.7825,80.0533,215.0442,89.7645,0,0
Strawberry,Ripe,39.6175,59.437,138.1637,210.9387,24.803,0,0
Orange,Semi-Ripe,9.9501,45.8477,173.0722,247.0716,96.4054,43.5981,42.0309
Grape,Ripe,0.5226,26.1383,22.7254,197.6655,76.5162,28.0402,21.4553
Orange,Ripe,28.7788,40.4864,129.4464,94.619,41.9214,0.9606,0.4027
Grape,Raw,37.364,56.7742,7.6235,146.9455,33.9824,33.1228,11.2559
Banana,Semi-Ripe,40.7365,15.8831,83.7612,261.4973,37.5507,24.1556,9.0706
Apple,Semi-Ripe,-0.0415,70.0188,102.68,194.9115,13.6949,72.0726,9.8703
Mango,Semi-Ripe,31.7923,49.168,226.8781,179.6748,61.2226,44.1305,27.0178
Mango,Semi-Ripe,35.1509,87.6745,227.619,30.7165,27.6646,72.5177,20.0618
Mango,Raw,37.4599,85.1632,83.7002,169.9888,16.2226,77.0129,12.4935
Grape,Ripe,-4.0096,60.1181,172.2427,64.1185,99.933,51.6467,51.6121
Banana,Raw,35.9508,48.8823,33.5175,18.7707,24.5017,63.4817,15.5541
Apple,Raw,26.0406,55.5935,159.5627,14.7517,57.2435,57.2123,32.7503
Orange,Ripe,39.5891,68.2083,69.6909,8.1163,65.7482,9.2043,6.0517
Apple,Raw,39.8126,44.3064,207.7165,239.3856,11.1109,32.6988,3.6331
Grape,Semi-Ripe,5.6978,75.8126,110.6258,79.7805,84.6797,73.1358,61.9312
Mango,Semi-Ripe,19.0652,15.2189,177.7023,224.5588,83.82,31.3592,26.2853
Mango,Ripe,32.8287,13.2258,41.3694,268.6935,50.546,3.2634,1.6495
Apple,Semi-Ripe,-4.8757,69.5873,169.8405,14.7093,24.8478,70.9561,17.631
Apple,Ripe,34.8242,22.2262,100.1888,288.7312,73.9709,0,0
Grape,Raw,19.3361,28.554,85.5545,151.12,46.443,17.826,8.2789
Banana,Ripe,27.7574,48.6162,49.976,104.5392,26.5072,49.5035,13.122
Orange,Raw,37.8757,54.8638,66.2999,40.9953,94.1902,44.7203,42.1221
Apple,Semi-Ripe,-0.4282,27.1447,141.0882,7.567,24.5863,42.2388,10.3849
Mango,Ripe,14.185,77.8746,188.1837,256.6105,17.338,74.8545,12.9782
Grape,Raw,17.7608,27.8948,205.8241,107.8897,74.0173,18.129,13.4186
Orange,Semi-Ripe,13.2372,11.1842,163.7862,138.4779,77.7688,12.2472,9.5245
Mango,Semi-Ripe,22.6092,56.945,205.8037,266.7569,30.0108,55.606,16.6878
Mango,Ripe,36.3271,70.9373,5.5778,269.8342,18.5501,38.9906,7.2328
Apple,Ripe,23.2794,15.4644,145.6582,89.8505,26.6548,0,0
Mango,Semi-Ripe,-3.5781,46.4239,236.2602,185.4352,14.5498,45.6607,6.6435
Banana,Ripe,11.097,90.1262,213.6633,108.2731,79.6572,88.4661,70.4696
Grape,Semi-Ripe,34.4059,17.3286,214.3892,129.6065,29.192,0,0
Banana,Semi-Ripe,22.9322,53.7599,194.0907,11.029,36.3776,66.8738,24.3271
Apple,Raw,28.6079,87.2869,38.7404,113.1227,15.9452,79.2837,12.6419
Mango,Raw,24.9345,19.1741,104.2332,131.3176,82.9343,38.5596,31.9792
Grape,Semi-Ripe,37.7607,49.8365,22.9773,219.8034,98.9609,3.5561,3.5192
Strawberry,Semi-Ripe,18.413,84.5401,114.1895,146.3792,56.8594,58.5958,33.3172
Strawberry,Raw,25.0345,54.3822,19.6212,88.7781,68.2549,28.6064,19.5253
Apple,Ripe,31.4204,24.1211,106.5063,244.4907,87.0282,0,0
Mango,Semi-Ripe,37.8785,45.5046,32.3728,77.4283,77.9447,42.657,33.2489
Apple,Ripe,18.0825,57.9037,139.9731,81.5826,51.7626,42.0479,21.7651
Apple,Raw,25.486,18.3494,206.3406,19.733,89.0253,27.1325,24.1548
Banana,Semi-Ripe,28.6784,16.4354,113.0049,146.803,81.8183,37.1063,30.3597
Grape,Raw,33.0972,38.258,236.2012,198.6046,72.5571,13.4134,9.7324
Banana,Semi-Ripe,43.5045,90.2402,135.8355,161.8807,54.0104,68.4225,36.9552
Banana,Ripe,25.9519,91.4477,175.7689,206.6334,44.7182,69.7819,31.2052
Grape,Semi-Ripe,33.1422,88.015,217.8148,123.7298,66.0747,45.5551,30.1004
Orange,Semi-Ripe,44.6125,41.9629,54.968,112.7352,44.761,8.6015,3.8501
Strawberry,Ripe,34.8948,87.5259,203.4357,234.5709,82.399,0,0
Banana,Semi-Ripe,43.3941,90.624,23.0803,229.0177,89.928,68.0705,61.2144
Banana,Semi-Ripe,4.1191,26.1252,90.5227,7.9679,63.3173,52.883,33.4841
Grape,Ripe,33.369,19.9064,15.1337,199.3461,59.0855,0,0
Mango,Raw,-0.3021,95.1729,34.8139,81.433,88.2793,86.9795,76.7848
Banana,Semi-Ripe,39.056,83.3959,130.0891,219.0967,84.2977,66.5384,56.0903
Mango,Semi-Ripe,16.8312,96.5189,190.0305,293.887,86.0059,78.8515,67.817
Grape,Semi-Ripe,22.6555,18.6904,162.8986,229.8383,26.9365,0,0
Grape,Ripe,25.2394,88.1511,16.2115,133.0224,70.7193,34.4258,24.3457
Grape,Semi-Ripe,28.6086,35.8343,191.4614,270.8142,72.9353,0,0
Strawberry,Ripe,6.1963,15.5486,191.7848,215.0968,92.9325,0,0
Orange,Semi-Ripe,13.6133,80.0937,118.1489,106.7137,22.274,75.809,16.8857
Orange,Semi-Ripe,13.8292,25.8337,63.2481,215.32,32.3593,24.6871,7.9886
Grape,Raw,25.3197,73.8881,156.2768,154.0398,47.0411,57.486,27.042
Mango,Ripe,8.2717,28.3357,224.9641,162.978,16.2222,39.4269,6.3959
Apple,Ripe,35.6766,36.5743,238.5596,272.2032,34.2166,0,0
Strawberry,Raw,42.6729,86.0265,206.187,176.1188,21.7508,47.206,10.2677
Strawberry,Raw,21.2877,72.7831,129.6804,129.1661,40.525,53.1521,21.5399
Orange,Semi-Ripe,7.3956,62.0298,194.0258,175.5113,44.3647,62.6578,27.7979
Orange,Semi-Ripe,42.6099,53.2686,83.0067,91.8274,63.8984,20.9899,13.4122
Mango,Semi-Ripe,13.8503,33.1596,101.5349,203.5474,35.5902,50.6124,18.0131
Strawberry,Raw,4.4537,13.0233,14.1947,227.7764,32.6434,0,0
Mango,Raw,2.316,16.4374,200.9595,80.9557,89.5641,39.0395,34.9654
Orange,Ripe,32.4724,33.1532,127.5662,206.8585,31.9783,0,0
Strawberry,Semi-Ripe,28.2169,17.6034,109.6135,298.0193,77.5466,0,0
Banana,Semi-Ripe,18.8558,67.2834,131.1816,272.5342,35.8233,71.4105,25.5816
Orange,Semi-Ripe,8.3712,10.115,64.889,2.0289,89.146,22.9068,20.4205
Banana,Semi-Ripe,-0.3107,93.9621,64.2504,88.4884,23.8626,83.2915,19.8755
Strawberry,Ripe,39.1048,22.2349,79.3539,268.2416,12.6473,0,0
Banana,Semi-Ripe,16.0576,56.3087,206.9561,35.4984,68.0906,72.9629,49.6809
Banana,Raw,41.208,96.4479,146.6007,87.3445,32.6856,78.7983,25.7557
Mango,Semi-Ripe,23.1917,87.4937,206.7764,150.8801,78.379,79.9246,62.6441
Mango,Semi-Ripe,23.7885,66.981,167.689,74.9574,67.4113,68.0099,45.8464
Banana,Semi-Ripe,-2.0576,30.8866,131.1581,180.8067,78.9609,44.9631,35.5033
Orange,Raw,31.2161,68.2689,227.4038,205.5536,20.6285,54.4713,11.2366
Mango,Ripe,5.2997,58.7682,40.5992,180.7243,49.2667,60.6922,29.901
Orange,Semi-Ripe,5.5266,41.5447,81.7826,181.1535,61.9168,48.5771,30.0774
Mango,Semi-Ripe,27.8073,22.2501,181.6947,150.4545,88.5799,30.5644,27.0739
Banana,Raw,11.5402,12.3344,97.4865,99.9709,51.1234,48.9209,25.01
Strawberry,Semi-Ripe,1.5347,64.1724,21.7203,237.5293,44.4759,57.8588,25.7332
Banana,Raw,38.2897,12.2612,53.2074,207.1608,78.3717,34.5772,27.0987
Grape,Raw,9.1442,92.199,221.23,236.1594,67.0022,80.7077,54.0759
Apple,Ripe,42.4604,68.4251,143.7351,221.7059,56.9375,2.2607,1.2872
Strawberry,Semi-Ripe,28.4198,31.0593,20.8818,24.0187,69.1622,0,0
Banana,Ripe,2.6131,99.8515,33.4539,170.2414,71.6064,73.1683,52.3932
Grape,Raw,10.8802,24.2917,229.5441,289.0171,78.0706,14.1506,11.0475
Mango,Raw,33.2169,82.8725,58.2877,76.0104,77.6774,80.7487,62.7235
Grape,Semi-Ripe,3.3047,42.8781,191.9592,77.8224,71.3053,41.2564,29.418
Mango,Ripe,27.8364,68.0416,27.267,14.9384,75.7774,57.7407,43.7544
Orange,Semi-Ripe,43.9558,89.0553,142.5715,120.6956,46.095,49.5409,22.8359
Banana,Raw,-1.3627,96.4298,194.8647,41.3633,88.3112,86.4482,76.3434
Orange,Semi-Ripe,35.4119,78.4438,192.9702,96.6949,51.4014,49.0002,25.1868
Strawberry,Raw,35.1921,58.8406,51.3469,199.7193,63.3414,20.8153,13.1847
Mango,Raw,-2.1898,90.7741,102.6358,88.6719,94.4921,88.2117,83.3531
Orange,Semi-Ripe,-0.9185,81.628,219.4518,286.7627,82.9964,72.5241,60.1924
Grape,Raw,13.9218,56.3421,150.8858,43.4304,26.4556,52.2187,13.8148
Mango,Raw,3.8254,23.3071,153.3889,272.4929,17.2504,39.3454,6.7872
Mango,Raw,30.4748,18.0569,78.7001,187.0682,76.7119,33.3431,25.5781
Grape,Ripe,25.0093,80.8627,133.161,100.5187,65.8437,23.7859,15.6615
Apple,Raw,31.3995,57.7629,164.7584,170.8512,57.0754,50.9975,29.107
Orange,Raw,39.0002,43.344,10.7116,228.1088,34.2933,28.6084,9.8108
Strawberry,Raw,37.1007,47.2684,202.0759,216.3403,49.201,1.0289,0.5062
Orange,Semi-Ripe,22.1001,28.8025,33.4111,132.3877,95.5627,21.4055,20.4556
Orange,Semi-Ripe,6.6247,18.2714,39.3719,190.4793,87.288,27.0765,23.6345
Mango,Raw,4.9007,50.1929,11.8707,225.0022,71.8938,61.4445,44.1747
Orange,Raw,30.9037,19.9707,148.9309,13.5472,94.1029,17.8326,16.781
Orange,Raw,21.3492,31.7641,108.9518,13.9674,83.5973,35.1797,29.4093
Grape,Ripe,13.815,43.2004,168.2526,13.2144,89.4549,13.4775,12.0563
Orange,Semi-Ripe,33.6209,42.544,138.1997,64.4489,76.2734,20.8327,15.8898
Orange,Raw,20.5998,60.9513,55.0553,276.5206,63.528,54.6591,34.7238
Banana,Ripe,37.9265,21.868,172.9075,267.2031,92.8789,10.7841,10.0161
Apple,Raw,-2.6947,34.4044,98.943,177.4266,81.1634,45.1945,36.6814
Apple,Raw,22.6762,16.9859,194.5853,24.2029,84.4632,27.711,23.4056
Strawberry,Ripe,-4.8566,24.5479,216.5341,286.8728,28.342,0,0
Mango,Raw,4.0768,90.4466,146.9636,52.4584,14.3161,92.5124,13.2442
Orange,Ripe,3.7361,32.8922,213.0237,78.4284,18.4185,36.2491,6.6765
Apple,Ripe,8.7671,71.986,82.1593,290.5421,52.2013,65.6627,34.2768
Banana,Raw,16.0731,70.114,174.5609,219.8364,75.6733,78.6017,59.4805
Grape,Semi-Ripe,2.0495,88.4347,50.3954,239.9271,32.0106,87.2622,27.9331
Banana,Semi-Ripe,23.9147,79.0027,176.806,224.5631,87.914,75.1041,66.027
Orange,Raw,25.6603,94.4878,221.9197,219.8725,12.5015,73.2879,9.1621
Banana,Raw,11.4538,42.4922,3.9533,39.5146,80.7859,69.5361,56.1753
Strawberry,Raw,23.189,63.3527,237.0093,28.4083,37.8019,40.3727,15.2616
Banana,Ripe,18.5554,31.1039,127.1075,223.9376,34.7896,46.6906,16.2435
Apple,Raw,16.7328,12.8,198.0562,214.9644,86.6155,22.1709,19.2034
Mango,Ripe,17.1244,12.427,119.9679,282.9226,85.1243,25.4547,21.6681
Grape,Raw,-3.5022,49.4799,73.3399,88.5744,60.9542,66.0292,40.2476
Strawberry,Ripe,13.4168,88.8296,182.7271,157.7377,52.2274,51.5104,26.9026
Grape,Semi-Ripe,36.6732,25.3917,81.6136,94.9478,50.87,0,0
Grape,Semi-Ripe,25.2419,43.5981,160.8905,77.6705,97.5275,14.2703,13.9175
Grape,Semi-Ripe,-3.9149,50.0803,217.5804,172.1643,65.3999,44.1689,28.8864
Grape,Semi-Ripe,35.2152,75.6678,111.5758,181.3704,37.3673,31.546,11.7879
Grape,Ripe,21.0104,78.8721,149.4794,111.1295,31.9076,30.1556,9.6219
Apple,Raw,18.788,19.0556,158.2885,94.8437,16.9389,29.9434,5.0721
Strawberry,Raw,43.4059,13.7821,51.5132,223.6246,48.6636,0,0
Mango,Raw,35.5376,37.6721,38.7866,53.3709,42.0387,48.7099,20.477
Apple,Ripe,35.6071,13.675,116.0911,36.5841,19.2098,0,0
Grape,Ripe,44.488,93.5763,22.3994,255.5331,45.4801,0,0
Banana,Ripe,-0.022,15.6646,238.8179,75.2245,52.1212,28.2767,14.7381
Grape,Raw,19.5124,19.8173,41.0915,65.8854,68.2072,12.0869,8.2441
Mango,Semi-Ripe,2.9815,45.783,145.3534,235.3363,35.6741,51.255,18.2848
Mango,Raw,26.0593,46.7815,199.3922,243.3993,50.6911,53.0585,26.896
Strawberry,Raw,17.5828,18.1219,63.2169,56.7669,60.2199,0,0
Grape,Ripe,33.4921,92.3985,193.0101,72.2555,46.7001,9.0331,4.2185
Apple,Ripe,1.9236,15.6367,185.3458,12.0814,44.8491,30.4784,13.6693
Strawberry,Raw,10.7815,39.3104,211.4972,235.8537,55.791,15.2137,8.4879
Mango,Ripe,21.4811,95.2367,219.0643,172.1517,68.5648,69.5014,47.6535
Banana,Semi-Ripe,9.6084,26.281,131.6342,206.211,50.3831,50.7628,25.5759
Banana,Semi-Ripe,4.0708,47.0443,61.7609,52.7773,46.4056,64.5117,29.937
Grape,Ripe,15.9804,66.7322,122.0349,286.3693,11.3956,25.6704,2.9253
Strawberry,Ripe,9.8856,85.178,235.5305,255.0906,79.9009,51.3089,40.9963
Banana,Raw,31.0008,92.7064,196.6708,15.1152,82.1893,87.7089,72.0874
Mango,Semi-Ripe,41.6157,65.4044,11.9101,61.2257,84.2383,54.0778,45.5542
Mango,Semi-Ripe,29.7879,74.0121,66.1696,166.1461,52.3795,66.6239,34.8973
Strawberry,Ripe,15.4547,39.37,156.1941,67.8704,19.7246,0,0
Grape,Ripe,3.0144,13.9748,161.9745,97.938,39.9423,7.2448,2.8937
Strawberry,Ripe,22.7234,43.5521,130.4093,160.6956,52.4457,0,0
Mango,Semi-Ripe,8.1858,39.9774,151.4358,119.4708,26.935,55.2415,14.8793
